lat,lon,zip_code
43.817,-79.312,M1V 2Y6
43.745,-79.6,M9V 3J4
43.719,-79.43,M6A 2A2
43.649,-79.379,M5H 1H1
43.692,-79.291,M4C 1M9
43.669,-79.486,
43.729,-79.62,M9W 7A6
43.666,-79.491,
43.8,-79.32,M1W 2S0
43.782,-79.336,M2J 3W3
43.685,-79.475,M6G 3W9
43.669,-79.382,M4Y 2E7
43.706,-79.29,M1L 1V6
43.641,-79.428,M6K 1G4
43.672,-79.29,M4E 1G1
43.664,-79.415,M6G 1K8
43.76,-79.333,M3A 2S3
43.768,-79.505,M3J 3L3
43.661,-79.387,M5S 1B2
43.678,-79.359,M4K 1N1
43.822,-79.271,M1V 3H7
43.669,-79.402,M5R 1E1
43.755,-79.351,M3B 1Y2
43.734,-79.601,M9V 5E2
43.67,-79.292,M4E 2X2
43.769,-79.285,M1P 2L9
43.775,-79.334,M2J 0G7
43.767,-79.412,M2N 6C6
43.693,-79.291,M4C 1M9
43.657,-79.483,
43.76,-79.223,M1H 2A0
43.81,-79.258,M1S 0C2
43.659,-79.474,
43.636,-79.58,M9C 1Y2
43.659,-79.35,M4M 2G1
43.647,-79.43,M6J 3L2
43.744,-79.212,M1J 3M5
43.744,-79.216,M1J 3M5
43.752,-79.225,M1H 3A1
43.694,-79.285,M1L 3E4
43.722,-79.43,M6A 2B1
43.687,-79.287,M4E 3W2
43.656,-79.377,M5B 1Z2
43.706,-79.531,M9N 1X7
43.78,-79.137,M1C 3B2
43.674,-79.329,M4L 1Y7
43.754,-79.266,M1P 2N9
43.661,-79.372,M5A 2E6
43.655,-79.413,M6G 1C2
43.638,-79.444,M6R 1A9
43.7,-79.503,M6M 4W4
43.662,-79.356,M4M 2B3
43.662,-79.418,M6G 2Y6
43.792,-79.157,M1C 1K9
43.708,-79.534,M9N 3V9
43.674,-79.495,
43.764,-79.232,M1H 1S2
43.762,-79.517,M3N 2X9
43.686,-79.29,M4E 3W2
